GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jenkem,jenkem.ui.tab,MainTab.ImageData,46,0,2,0,3,0,7,0,6,0
Jenkem,jenkem.ui.tab,GalleryTab.Column,4,30,1,1,0,1,1,4,0,4
Jenkem,jenkem.ui.tab,GalleryTab..anonfun.update.new Serializable() {...},4,23,1,1,0,1,1,2,0,2
Jenkem,jenkem.ui.tab,GalleryTab.ImageInfoBean,4,186,1,1,0,20,1,10,0,10
Jenkem,jenkem.ui.tab,MainTab..anonfun.makeListMethodSelect.new Serializable() {...},0,15,0,0,0,1,0,2,0,2
Jenkem,jenkem.ui.tab,MainTab.ImagePreparationData,28,0,2,0,1,0,4,0,3,0
Jenkem,jenkem.ui.tab,GalleryTab.BRIGHT.,6,31,0,0,0,1,2,7,2,7
Jenkem,jenkem.ui.tab,MainTab..anonfun.jenkem.ui.tab.MainTab..makeInitsForMethod.new Serializable() {...},4,18,1,1,0,1,1,2,0,2
Jenkem,jenkem.ui.tab,MainTab.ConversionData,13,21,1,1,0,1,4,1,3,1
Jenkem,jenkem.ui.tab,GalleryTab..anonfun.new Serializable() {...},0,11,0,0,0,1,0,2,0,2
Jenkem,jenkem.ui.tab,GalleryTab..anonfun.new Serializable() {...},4,22,1,1,0,1,1,2,0,2
Jenkem,jenkem.ui.tab,GalleryTab..anonfun.new Serializable() {...},4,22,1,1,0,1,1,2,0,2
Jenkem,jenkem.ui.tab,GalleryTab..anonfun.new Serializable() {...},4,23,1,1,0,1,1,2,0,2
Jenkem,jenkem.ui.tab,MainTab..anonfun.new Serializable() {...},4,18,1,1,0,1,1,2,0,2
Jenkem,jenkem.ui.tab,MainTab..anonfun.new Serializable() {...},16,0,0,0,1,0,2,0,2,0
Jenkem,jenkem.ui.tab,MainTab..anon.new Property.ValueChangeListener() {...},9,13,2,2,0,2,2,2,0,2
Jenkem,jenkem.ui.tab,MainTab..anon.new Property.ValueChangeListener() {...},28,52,8,4,1,8,5,3,0,2
Jenkem,jenkem.ui.tab,MainTab..anon.new Button.ClickListener() {...},13,8,1,1,2,1,2,1,1,1
Jenkem,jenkem.ui.tab,MainTab..anon.new Property.ValueChangeListener() {...},4,25,1,1,0,5,1,2,0,2
Jenkem,jenkem.ui.tab,MainTab..anon.new Property.ValueChangeListener() {...},30,11,1,1,2,1,2,1,1,1
Jenkem,jenkem.ui.tab,MainTab..anon.new Object() {...},4,16,1,1,0,2,1,2,0,2
